 theme1               ;theme2     ; id              ; nr              ;q                                                                                                                            ;a                 
 liikeverbit          ;           ;3                ;1                ;завтра мы ___ в Москву                                                                                                       ; едем             
 liikeverbit          ;           ;3                ;2                ;ты ___ с нами в кино?                                                                                                        ; идёшь            
 liikeverbit          ;           ;3                ;3                ;Они ___ на машине                                                                                                            ; едут             
 liikeverbit          ;           ;3                ;4                ;Университет далеко от дома Ивана, и он ___ туда на велосипеде.                                                               ; ездит            
 liikeverbit          ;           ;3                ;5                ;Станция метро в двух шагах от моего дома, и я, конечно, ___ туда пешком.                                                     ; хожу             
 liikeverbit          ;           ;3                ;6                ;В воскресенье мы ___ в Павловск.                                                                                             ; едем             
 liikeverbit          ;           ;3                ;7                ;Вы ___ с нами на экскурсию в Эрмитаж?                                                                                        ; едете            
 liikeverbit          ;           ;5                ;1                ;Они едут завтра на пляж? - Да. Они всегда летом ___                                                                          ; ездят            
 liikeverbit          ;           ;5                ;2                ;Вы летите летом на море? - Да. Мы каждое лето ___                                                                            ; летаем           
 liikeverbit          ;           ;5                ;3                ;Ты едешь в Москву? - Да. Я часто ___                                                                                         ; езжу             
 liikeverbit          ;           ;5                ;4                ;Вы идёте в Эрмитаж? - Да, мы каждое воскресенье ___                                                                          ; ходим            
 liikeverbit          ;           ;5                ;5                ;Вы плывёте завтра в Хельсинки на корабле? Да, я всегда ___                                                                   ; плаваю           
 liikeverbit          ;           ;5                ;6                ;Ира, ты идёшь сегодня в кафе? Да, я по воскресеньям ___                                                                      ; хожу             
 liikeverbit          ;           ;5                ;7                ;Миша, ты едешь в Рим на поезде? Обычно ___ на поезде, но иногда ___ на самолёте                                              ; езжу летаю       
 liikeverbit          ;           ;5                ;8                ;Лиза едет в бассейн? Да, каждую субботу ___                                                                                  ; ездит            
